OrderDate;StockDate;OrderNumber;ProductKey;CustomerKey;TerritoryKey;OrderLineItem;OrderQuantity
01/01/2020;10/29/2001;SO45082;350;11090;9;1;1
01/01/2020;9/21/2001;SO45080;332;13238;1;1;1
01/01/2020;11/16/2001;SO45081;338;26311;6;1;1
01/01/2020;12/05/2001;SO45079;312;26311;4;1;1
02/01/2020;11/19/2001;SO45347;342;13238;4;1;1
02/01/2020;11/16/2001;SO45345;313;13238;10;1;1
02/01/2020;12/06/2001;SO45348;311;15926;9;1;1
02/01/2020;12/07/2001;SO45349;312;15926;9;1;1
02/01/2020;01/10/2002;SO45350;311;15926;9;1;1
03/01/2020;01/09/2002;SO45581;313;11090;1;1;1
03/01/2020;11/16/2001;SO45583;311;11090;1;1;1
03/01/2020;12/20/2001;SO45585;351;11090;9;1;1
03/01/2020;1/29/2002;SO45580;310;13238;8;1;1
03/01/2020;01/08/2002;SO45584;336;22399;9;1;1
03/01/2020;02/05/2002;SO45582;312;26311;6;1;1
04/01/2020;12/20/2001;SO45816;313;11090;4;1;1
04/01/2020;03/04/2002;SO45817;311;13238;8;1;1
04/01/2020;2/13/2002;SO45818;328;13238;4;1;1
04/01/2020;03/10/2002;SO45819;312;15926;9;1;1
04/01/2020;01/09/2002;SO45820;340;22399;9;1;1
05/01/2020;1/20/2002;SO46111;311;11090;1;1;1
05/01/2020;2/16/2002;SO46112;312;11090;4;1;1
05/01/2020;01/04/2002;SO46113;310;11090;4;1;1
05/01/2020;3/23/2002;SO46108;310;11090;4;1;1
05/01/2020;04/12/2002;SO46114;313;11090;4;1;1
05/01/2020;2/13/2002;SO46115;312;11090;4;1;1
05/01/2020;03/04/2002;SO46109;312;11090;1;1;1
05/01/2020;01/01/2002;SO46110;311;11090;4;1;1
05/01/2020;2/13/2002;SO46116;332;13238;4;1;1
05/01/2020;02/01/2002;SO46117;310;15926;9;1;1
05/01/2020;3/27/2002;SO46118;314;20561;9;1;1
05/01/2020;04/01/2002;SO46119;326;22399;9;1;1
06/01/2020;04/02/2002;SO46390;313;11090;4;1;1
06/01/2020;5/14/2002;SO46392;313;13238;7;1;1
06/01/2020;02/10/2002;SO46393;314;15116;10;1;1
06/01/2020;2/18/2002;SO46391;312;20561;9;1;1
07/01/2020;05/09/2002;SO46681;362;11090;9;1;1
07/01/2020;03/10/2002;SO46682;358;11090;9;1;1
07/01/2020;4/23/2002;SO46683;354;11090;9;1;1
07/01/2020;5/16/2002;SO46679;373;11090;1;1;1
07/01/2020;05/03/2002;SO46677;371;15116;8;1;1
07/01/2020;4/18/2002;SO46676;385;15926;8;1;1
07/01/2020;03/12/2002;SO46678;330;15926;8;1;1
07/01/2020;03/05/2002;SO46680;371;20561;9;1;1
08/01/2020;6/15/2002;SO47076;362;11090;9;1;1
08/01/2020;4/21/2002;SO47075;360;11090;9;1;1
08/01/2020;4/20/2002;SO47068;370;13238;4;1;1
08/01/2020;05/07/2002;SO47069;383;13238;4;1;1
08/01/2020;5/19/2002;SO47070;387;13238;1;1;1
08/01/2020;5/15/2002;SO47071;369;15116;8;1;1
08/01/2020;4/21/2002;SO47072;340;15926;8;1;1
08/01/2020;04/06/2002;SO47073;369;22399;6;1;1
08/01/2020;05/10/2002;SO47074;362;22399;1;1;1
09/01/2020;7/27/2002;SO47460;320;15926;7;1;1
09/01/2020;08/06/2002;SO47461;356;26311;4;1;1
10/01/2020;7/31/2002;SO47731;362;11090;10;1;1
10/01/2020;09/02/2002;SO47736;358;11090;9;1;1
10/01/2020;06/03/2002;SO47737;356;11090;9;1;1
10/01/2020;09/12/2002;SO47732;369;13238;4;1;1
10/01/2020;08/08/2002;SO47733;375;13238;4;1;1
10/01/2020;09/09/2002;SO47734;332;15116;4;1;1
10/01/2020;9/13/2002;SO47738;326;22399;9;1;1
10/01/2020;06/03/2002;SO47735;342;26311;6;1;1
11/01/2020;10/04/2002;SO48094;370;13238;1;1;1
11/01/2020;10/14/2002;SO48096;328;15116;4;1;1
11/01/2020;10/02/2002;SO48093;377;15926;10;1;1
11/01/2020;07/05/2002;SO48095;332;20561;8;1;1
11/01/2020;8/22/2002;SO48098;377;22399;9;1;1
11/01/2020;10/03/2002;SO48097;369;22399;9;1;1
12/01/2020;9/15/2002;SO48405;356;11090;10;1;1
12/01/2020;11/09/2002;SO48404;377;13238;1;1;1
12/01/2020;9/30/2002;SO48403;383;13238;4;1;1
12/01/2020;11/09/2002;SO48406;326;15116;4;1;1
12/01/2020;8/20/2002;SO48401;375;15926;8;1;1
12/01/2020;9/26/2002;SO48402;379;15926;10;1;1
12/01/2020;09/09/2002;SO48400;326;20561;8;1;1
12/01/2020;9/14/2002;SO48407;375;22399;9;1;1
12/01/2020;11/08/2002;SO48408;379;22399;9;1;1
12/01/2020;8/24/2002;SO48409;370;22399;9;1;1
12/01/2020;10/09/2002;SO48410;358;26311;4;1;1
01/02/2020;12/15/2001;SO45083;312;13238;10;1;1
01/02/2020;10/09/2001;SO45085;312;15926;9;1;1
01/02/2020;12/18/2001;SO45086;314;15926;9;1;1
01/02/2020;10/12/2001;SO45084;310;26311;4;1;1
